STONE (STONE): [0, 0]
MAGENTA_STAINED_CLAY (STAINED_HARDENED_CLAY:2): [19, 6]
LIGHT_BLUE_STAINED_CLAY (STAINED_HARDENED_CLAY:3): [20, 6]
YELLOW_STAINED_CLAY (STAINED_HARDENED_CLAY:4): [21, 6]
LIME_STAINED_CLAY (STAINED_HARDENED_CLAY:5): [22, 6]
PINK_STAINED_CLAY (STAINED_HARDENED_CLAY:6): [23, 6]
GRAY_STAINED_CLAY (STAINED_HARDENED_CLAY:7): [24, 6]
LIGHT_GRAY_STAINED_CLAY (STAINED_HARDENED_CLAY:8): [25, 6]
CYAN_STAINED_CLAY (STAINED_HARDENED_CLAY:9): [26, 6]
PURPLE_STAINED_CLAY (STAINED_HARDENED_CLAY:10): [27, 6]
BLUE_STAINED_CLAY (STAINED_HARDENED_CLAY:11): [28, 6]
BROWN_STAINED_CLAY (STAINED_HARDENED_CLAY:12): [29, 6]
GREEN_STAINED_CLAY (STAINED_HARDENED_CLAY:13): [30, 6]
RED_STAINED_CLAY (STAINED_HARDENED_CLAY:14): [31, 6]
BLACK_STAINED_CLAY (STAINED_HARDENED_CLAY:15): [0, 7]
WHITE_STAINED_GLASS_PANE (STAINED_GLASS_PANE): [1, 7]
ORANGE_STAINED_GLASS_PANE (STAINED_GLASS_PANE:1): [2, 7]
MAGENTA_STAINED_GLASS_PANE (STAINED_GLASS_PANE:2): [3, 7]
LIGHT_BLUE_STAINED_GLASS_PANE (STAINED_GLASS_PANE:3): [4, 7]
YELLOW_STAINED_GLASS_PANE (STAINED_GLASS_PANE:4): [5, 7]
LIME_STAINED_GLASS_PANE (STAINED_GLASS_PANE:5): [6, 7]
PINK_STAINED_GLASS_PANE (STAINED_GLASS_PANE:6): [7, 7]
GRAY_STAINED_GLASS_PANE (STAINED_GLASS_PANE:7): [8, 7]
LIGHT_GRAY_STAINED_GLASS_PANE (STAINED_GLASS_PANE:8): [9, 7]
CYAN_STAINED_GLASS_PANE (STAINED_GLASS_PANE:9): [10, 7]
PURPLE_STAINED_GLASS_PANE (STAINED_GLASS_PANE:10): [11, 7]
BLUE_STAINED_GLASS_PANE (STAINED_GLASS_PANE:11): [12, 7]
BROWN_STAINED_GLASS_PANE (STAINED_GLASS_PANE:12): [13, 7]
GREEN_STAINED_GLASS_PANE (STAINED_GLASS_PANE:13): [14, 7]
RED_STAINED_GLASS_PANE (STAINED_GLASS_PANE:14): [15, 7]
BLACK_STAINED_GLASS_PANE (STAINED_GLASS_PANE:15): [16, 7]
ACACIA_LEAVES (LEAVES2): [17, 7]
DARK_OAK_LEAVES (LEAVES2:1): [18, 7]
ACACIA_WOOD (LOG2): [19, 7]
DARK_OAK_WOOD (LOG2:1): [20, 7]
ACACIA_WOOD_STAIRS (ACACIA_STAIRS): [21, 7]
DARK_OAK_WOOD_STAIRS (DARK_OAK_STAIRS): [22, 7]
SLIME_BLOCK (SLIME): [23, 7]
BARRIER (BARRIER): [24, 7]
IRON_TRAPDOOR (IRON_TRAPDOOR): [25, 7]
PRISMARINE (PRISMARINE): [26, 7]
PRISMARINE_BRICKS (PRISMARINE:1): [27, 7]
DARK_PRISMARINE (PRISMARINE:2): [28, 7]
SEA_LANTERN (SEA_LANTERN): [29, 7]
HAY_BALE (HAY_BLOCK): [30, 7]
CARPET (CARPET): [31, 7]
ORANGE_CARPET (CARPET:1): [0, 8]
MAGENTA_CARPET (CARPET:2): [1, 8]
LIGHT_BLUE_CARPET (CARPET:3): [2, 8]
YELLOW_CARPET (CARPET:4): [3, 8]
LIME_CARPET (CARPET:5): [4, 8]
PINK_CARPET (CARPET:6): [5, 8]
GRAY_CARPET (CARPET:7): [6, 8]
LIGHT_GRAY_CARPET (CARPET:8): [7, 8]
CYAN_CARPET (CARPET:9): [8, 8]
PURPLE_CARPET (CARPET:10): [9, 8]
BLUE_CARPET (CARPET:11): [10, 8]
BROWN_CARPET (CARPET:12): [11, 8]
GREEN_CARPET (CARPET:13): [12, 8]
RED_CARPET (CARPET:14): [13, 8]
BLACK_CARPET (CARPET:15): [14, 8]
HARDENED_CLAY (HARDENED_CLAY): [15, 8]
BLOCK_OF_COAL (COAL_BLOCK): [16, 8]
PACKED_ICE (PACKED_ICE): [17, 8]
SUNFLOWER (DOUBLE_PLANT): [18, 8]
LILAC (DOUBLE_PLANT:1): [19, 8]
DOUBLE_TALLGRASS (DOUBLE_PLANT:2): [20, 8]
LARGE_FERN (DOUBLE_PLANT:3): [21, 8]
ROSE_BUSH (DOUBLE_PLANT:4): [22, 8]
PEONY (DOUBLE_PLANT:5): [23, 8]
RED_SANDSTONE (RED_SANDSTONE): [24, 8]
CHISELED_RED_SANDSTONE (RED_SANDSTONE:1): [25, 8]
SMOOTH_RED_SANDSTONE (RED_SANDSTONE:2): [26, 8]
RED_SANDSTONE_STAIRS (RED_SANDSTONE_STAIRS): [27, 8]
RED_SANDSTONE_SLAB (STONE_SLAB2): [28, 8]
SPRUCE_FENCE_GATE (SPRUCE_FENCE_GATE): [29, 8]
BIRCH_FENCE_GATE (BIRCH_FENCE_GATE): [30, 8]
JUNGLE_FENCE_GATE (JUNGLE_FENCE_GATE): [31, 8]
DARK_OAK_FENCE_GATE (DARK_OAK_FENCE_GATE): [0, 9]
ACACIA_FENCE_GATE (ACACIA_FENCE_GATE): [1, 9]
SPRUCE_FENCE (SPRUCE_FENCE): [2, 9]
BIRCH_FENCE (BIRCH_FENCE): [3, 9]
JUNGLE_FENCE (JUNGLE_FENCE): [4, 9]
DARK_OAK_FENCE (DARK_OAK_FENCE): [5, 9]
ACACIA_FENCE (ACACIA_FENCE): [6, 9]
IRON_SHOVEL (IRON_SHOVEL): [7, 9]
IRON_PICKAXE (IRON_PICKAXE): [8, 9]
IRON_AXE (IRON_AXE): [9, 9]
FLINT_AND_STEEL (FLINT_AND_STEEL): [10, 9]
APPLE (APPLE): [11, 9]
BOW (BOW): [12, 9]
ARROW (ARROW): [13, 9]
COAL (COAL): [14, 9]
CHARCOAL (COAL:1): [15, 9]
DIAMOND (DIAMOND): [16, 9]
IRON_INGOT (IRON_INGOT): [17, 9]
GOLD_INGOT (GOLD_INGOT): [18, 9]
IRON_SWORD (IRON_SWORD): [19, 9]
WOODEN_SWORD (WOODEN_SWORD): [20, 9]
WOODEN_SHOVEL (WOODEN_SHOVEL): [21, 9]
WOODEN_PICKAXE (WOODEN_PICKAXE): [22, 9]
WOODEN_AXE (WOODEN_AXE): [23, 9]
STONE_SWORD (STONE_SWORD): [24, 9]
STONE_SHOVEL (STONE_SHOVEL): [25, 9]
STONE_PICKAXE (STONE_PICKAXE): [26, 9]
STONE_AXE (STONE_AXE): [27, 9]
DIAMOND_SWORD (DIAMOND_SWORD): [28, 9]
DIAMOND_SHOVEL (DIAMOND_SHOVEL): [29, 9]
DIAMOND_PICKAXE (DIAMOND_PICKAXE): [30, 9]
DIAMOND_AXE (DIAMOND_AXE): [31, 9]
STICK (STICK): [0, 10]
BOWL (BOWL): [1, 10]
MUSHROOM_STEW (MUSHROOM_STEW): [2, 10]
GOLDEN_SWORD (GOLDEN_SWORD): [3, 10]
GOLDEN_SHOVEL (GOLDEN_SHOVEL): [4, 10]
GOLDEN_PICKAXE (GOLDEN_PICKAXE): [5, 10]
GOLDEN_AXE (GOLDEN_AXE): [6, 10]
STRING (STRING): [7, 10]
FEATHER (FEATHER): [8, 10]
GUNPOWDER (GUNPOWDER): [9, 10]
WOODEN_HOE (WOODEN_HOE): [10, 10]
STONE_HOE (STONE_HOE): [11, 10]
IRON_HOE (IRON_HOE): [12, 10]
DIAMOND_HOE (DIAMOND_HOE): [13, 10]
GOLDEN_HOE (GOLDEN_HOE): [14, 10]
SEEDS (WHEAT_SEEDS): [15, 10]
WHEAT (WHEAT): [16, 10]
BREAD (BREAD): [17, 10]
LEATHER_CAP (LEATHER_HELMET): [18, 10]
LEATHER_TUNIC (LEATHER_CHESTPLATE): [19, 10]
LEATHER_PANTS (LEATHER_LEGGINGS): [20, 10]
LEATHER_BOOTS (LEATHER_BOOTS): [21, 10]
CHAIN_HELMET (CHAINMAIL_HELMET): [22, 10]
CHAIN_CHESTPLATE (CHAINMAIL_CHESTPLATE): [23, 10]
CHAIN_LEGGINGS (CHAINMAIL_LEGGINGS): [24, 10]
CHAIN_BOOTS (CHAINMAIL_BOOTS): [25, 10]
IRON_HELMET (IRON_HELMET): [26, 10]
IRON_CHESTPLATE (IRON_CHESTPLATE): [27, 10]
IRON_LEGGINGS (IRON_LEGGINGS): [28, 10]
IRON_BOOTS (IRON_BOOTS): [29, 10]
DIAMOND_HELMET (DIAMOND_HELMET): [30, 10]
DIAMOND_CHESTPLATE (DIAMOND_CHESTPLATE): [31, 10]
DIAMOND_LEGGINGS (DIAMOND_LEGGINGS): [0, 11]
DIAMOND_BOOTS (DIAMOND_BOOTS): [1, 11]
GOLDEN_HELMET (GOLDEN_HELMET): [2, 11]
GOLDEN_CHESTPLATE (GOLDEN_CHESTPLATE): [3, 11]
GOLDEN_LEGGINGS (GOLDEN_LEGGINGS): [4, 11]
GOLDEN_BOOTS (GOLDEN_BOOTS): [5, 11]
FLINT (FLINT): [6, 11]
RAW_PORKCHOP (PORKCHOP): [7, 11]
COOKED_PORKCHOP (COOKED_PORKCHOP): [8, 11]
PAINTING (PAINTING): [9, 11]
GOLDEN_APPLE (GOLDEN_APPLE): [10, 11]
GOLDEN_APPLE (GOLDEN_APPLE:1): [11, 11]
SIGN (SIGN): [12, 11]
OAK_DOOR (WOODEN_DOOR): [13, 11]
BUCKET (BUCKET): [14, 11]
WATER_BUCKET (WATER_BUCKET): [15, 11]
LAVA_BUCKET (LAVA_BUCKET): [16, 11]
MINECART (MINECART): [17, 11]
SADDLE (SADDLE): [18, 11]
IRON_DOOR (IRON_DOOR): [19, 11]
REDSTONE (REDSTONE): [20, 11]
SNOWBALL (SNOWBALL): [21, 11]
BOAT (BOAT): [22, 11]
LEATHER (LEATHER): [23, 11]
MILK (MILK_BUCKET): [24, 11]
BRICK (BRICK): [25, 11]
CLAY (CLAY_BALL): [26, 11]
SUGAR_CANES (REEDS): [27, 11]
PAPER (PAPER): [28, 11]
BOOK (BOOK): [29, 11]
SLIMEBALL (SLIME_BALL): [30, 11]
MINECART_WITH_CHEST (CHEST_MINECART): [31, 11]
MINECART_WITH_FURNACE (FURNACE_MINECART): [0, 12]
EGG (EGG): [1, 12]
COMPASS (COMPASS): [2, 12]
FISHING_ROD (FISHING_ROD): [3, 12]
CLOCK (CLOCK): [4, 12]
GLOWSTONE_DUST (GLOWSTONE_DUST): [5, 12]
RAW_FISH (FISH): [6, 12]
RAW_SALMON (FISH:1): [7, 12]
CLOWNFISH (FISH:2): [8, 12]
PUFFERFISH (FISH:3): [9, 12]
COOKED_FISH (COOKED_FISH): [10, 12]
COOKED_SALMON (COOKED_FISH:1): [11, 12]
INK_SAC (DYE): [12, 12]
ROSE_RED (DYE:1): [13, 12]
CACTUS_GREEN (DYE:2): [14, 12]
COCOA_BEANS (DYE:3): [15, 12]
LAPIS_LAZULI (DYE:4): [16, 12]
PURPLE_DYE (DYE:5): [17, 12]
CYAN_DYE (DYE:6): [18, 12]
LIGHT_GRAY_DYE (DYE:7): [19, 12]
GRAY_DYE (DYE:8): [20, 12]
PINK_DYE (DYE:9): [21, 12]
LIME_DYE (DYE:10): [22, 12]
DANDELION_YELLOW (DYE:11): [23, 12]
LIGHT_BLUE_DYE (DYE:12): [24, 12]
MAGENTA_DYE (DYE:13): [25, 12]
ORANGE_DYE (DYE:14): [26, 12]
BONE_MEAL (DYE:15): [27, 12]
BONE (BONE): [28, 12]
SUGAR (SUGAR): [29, 12]
CAKE (CAKE): [30, 12]
BED (BED): [31, 12]
REDSTONE_REPEATER (REPEATER): [0, 13]
COOKIE (COOKIE): [1, 13]
MAP (FILLED_MAP): [2, 13]
SHEARS (SHEARS): [3, 13]
MELON (MELON): [4, 13]
PUMPKIN_SEEDS (PUMPKIN_SEEDS): [5, 13]
MELON_SEEDS (MELON_SEEDS): [6, 13]
RAW_BEEF (BEEF): [7, 13]
STEAK (COOKED_BEEF): [8, 13]
RAW_CHICKEN (CHICKEN): [9, 13]
COOKED_CHICKEN (COOKED_CHICKEN): [10, 13]
ROTTEN_FLESH (ROTTEN_FLESH): [11, 13]
ENDER_PEARL (ENDER_PEARL): [12, 13]
BLAZE_ROD (BLAZE_ROD): [13, 13]
GHAST_TEAR (GHAST_TEAR): [14, 13]
GOLD_NUGGET (GOLD_NUGGET): [15, 13]
NETHER_WART (NETHER_WART): [16, 13]
WATER_BOTTLE (POTION): [17, 13]
POTION_OF_REGENERATION (POTION:8193): [18, 13]
POTION_OF_REGENERATION (POTION:8225): [19, 13]
POTION_OF_REGENERATION (POTION:8257): [20, 13]
SPLASH_POTION_OF_REGENERATION (POTION:16385): [21, 13]
SPLASH_POTION_OF_REGENERATION (POTION:16417): [22, 13]
SPLASH_POTION_OF_REGENERATION (POTION:16449): [23, 13]
POTION_OF_SWIFTNESS (POTION:8194): [24, 13]
POTION_OF_SWIFTNESS (POTION:8226): [25, 13]
POTION_OF_SWIFTNESS (POTION:8258): [26, 13]
SPLASH_POTION_OF_SWIFTNESS (POTION:16386): [27, 13]
SPLASH_POTION_OF_SWIFTNESS (POTION:16418): [28, 13]
SPLASH_POTION_OF_SWIFTNESS (POTION:16450): [29, 13]
POTION_OF_FIRE_RESISTANCE (POTION:8227): [30, 13]
POTION_OF_FIRE_RESISTANCE (POTION:8259): [31, 13]
SPLASH_POTION_OF_FIRE_RESISTANCE (POTION:16419): [0, 14]
SPLASH_POTION_OF_FIRE_RESISTANCE (POTION:16451): [1, 14]
POTION_OF_POISON (POTION:8196): [2, 14]
POTION_OF_POISON (POTION:8228): [3, 14]
POTION_OF_POISON (POTION:8260): [4, 14]
SPLASH_POTION_OF_POISON (POTION:16388): [5, 14]
SPLASH_POTION_OF_POISON (POTION:16420): [6, 14]
SPLASH_POTION_OF_POISON (POTION:16452): [7, 14]
POTION_OF_HEALING (POTION:8261): [8, 14]
POTION_OF_HEALING (POTION:8229): [9, 14]
SPLASH_POTION_OF_HEALING (POTION:16453): [10, 14]
SPLASH_POTION_OF_HEALING (POTION:16421): [11, 14]
POTION_OF_NIGHT_VISION (POTION:8230): [12, 14]
POTION_OF_NIGHT_VISION (POTION:8262): [13, 14]
SPLASH_POTION_OF_NIGHT_VISION (POTION:16422): [14, 14]
SPLASH_POTION_OF_NIGHT_VISION (POTION:16454): [15, 14]
POTION_OF_WEAKNESS (POTION:8232): [16, 14]
POTION_OF_WEAKNESS (POTION:8264): [17, 14]
SPLASH_POTION_OF_WEAKNESS (POTION:16424): [18, 14]
SPLASH_POTION_OF_WEAKNESS (POTION:16456): [19, 14]
POTION_OF_STRENGTH (POTION:8201): [20, 14]
POTION_OF_STRENGTH (POTION:8233): [21, 14]
POTION_OF_STRENGTH (POTION:8265): [22, 14]
SPLASH_POTION_OF_STRENGTH (POTION:16393): [23, 14]
SPLASH_POTION_OF_STRENGTH (POTION:16425): [24, 14]
SPLASH_POTION_OF_STRENGTH (POTION:16457): [25, 14]
POTION_OF_SLOWNESS (POTION:8234): [26, 14]
POTION_OF_SLOWNESS (POTION:8266): [27, 14]
SPLASH_POTION_OF_SLOWNESS (POTION:16426): [28, 14]
SPLASH_POTION_OF_SLOWNESS (POTION:16458): [29, 14]
POTION_OF_LEAPING (POTION:8203): [30, 14]
POTION_OF_LEAPING (POTION:8235): [31, 14]
POTION_OF_LEAPING (POTION:8267): [0, 15]
SPLASH_POTION_OF_LEAPING (POTION:16395): [1, 15]
SPLASH_POTION_OF_LEAPING (POTION:16427): [2, 15]
SPLASH_POTION_OF_LEAPING (POTION:16459): [3, 15]
POTION_OF_HARMING (POTION:8268): [4, 15]
POTION_OF_HARMING (POTION:8236): [5, 15]
